,序号,企业名称,经营状态,法定代表人,注册资本,注册资本币种,成立日期,核准日期,所属省,所属市,所属区/县,统一社会信用代码,联系电话,邮箱,参保人,企业性质,组织形式,国标行业门类,国标行业大类,国标行业中类,国标行业小类,网址,注册地址,通信地址,是否发行债券,经营范围
79,80.0,重庆龙湖企业拓展有限公司,在营,张旭忠,13.08亿,人民币,2002-10-18,2023-04-03,重庆市,-,-,91500000202879682L,02367732108,-,57,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.longfor.com,重庆市两江新区礼贤路12号1幢4008号,北京市朝阳区红军营东路6号龙湖蓝海引擎产业园,曾有债券发行,许可项目：房地产开发经营，保健食品销售，食品经营，出版物零售，药品零售，道路货物运输（不含危险货物），餐饮服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第一类医疗器械销售，农副产品销售，日用百货销售，家用电器销售，日用家电零售，日用品零售，家用视听设备销售，通讯设备销售，电子元器件与机电组件设备销售，针纺织品销售，母婴用品销售，服装服饰批发，服装服饰零售，体育用品及器材零售，体育用品及器材批发，消防器材销售，珠宝首饰批发，珠宝首饰零售，汽车零配件零售，摩托车及零配件零售，摩托车及零配件批发，机械设备销售，工艺美术品及收藏品零售（象牙及其制品除外），工艺美术品及收藏品批发（象牙及其制品除外），五金产品批发，五金产品零售，仪器仪表销售，照相器材及望远镜批发，照相器材及望远镜零售，家具销售，厨具卫具及日用杂品批发，建筑材料销售，礼品花卉销售，玩具、动漫及游艺用品销售，箱包销售，橡胶制品销售，卫生洁具销售，塑料制品销售，化妆品零售，化妆品批发，卫生用品销售，个人卫生用品销售，鞋帽批发，鞋帽零售，文具用品零售，文具用品批发，化工产品销售（不含许可类化工产品），计算机软硬件及辅助设备批发，计算机软硬件及辅助设备零售，非居住房地产租赁，住房租赁，房地产经纪，物业管理，外卖递送服务，装卸搬运，国际货物运输代理，包装服务，市场营销策划，居民日常生活服务，其他文化艺术经纪代理，信息咨询服务（不含许可类信息咨询服务），广告设计、代理，广告制作，广告发布（非广播电台、电视台、报刊出版单位），会议及展览服务，组织文化艺术交流活动，商业综合体管理服务，停车场服务，摄影扩印服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
80,81.0,上海三盛宏业投资(集团)有限责任公司,在营,陈建铭,10.02亿,人民币,2002-09-20,2019-07-31,上海市,-,松江区,91310000743282694F,021-31785888,-,35,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.sshy.cn,上海市松江区九亭镇虬泾路118号,上海市松江区九亭镇虬泾路118号,曾有债券发行,企业投资实业，实体投资，五金交电，建材，日用百货，家用电器，对物业管理行业投资，经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外，企业管理咨询，商务信息咨询服务，自有房屋租赁。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
81,82.0,大连万达商业管理集团股份有限公司,在营,肖广瑞,271.64亿,人民币,2002-09-16,2023-08-25,辽宁省,大连市,西岗区,912102007409339654,010-85853888,IR@wanda.cn,0,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.wandaplazas.com,辽宁省大连市西岗区长江路539号,北京市朝阳区建国路93号万达广场B座办公楼,曾有债券发行,许可项目：建设工程设计，代理记账（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：商业综合体管理服务，非居住房地产租赁，物业管理，规划设计管理，财务咨询，企业管理咨询，信息咨询服务（不含许可类信息咨询服务），信息技术咨询服务，信息系统集成服务，工程管理服务，货物进出口，技术进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
82,83.0,北京鸿坤伟业房地产开发有限公司,在营,张志龙,22亿,人民币,2002-08-20,2024-01-11,北京市,-,大兴区,91110115742336339R,010602440288,songhl@hongkun.com.cn,35,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.hongkun.com.cn,北京市大兴区西红门镇寿保庄鸿坤金融谷1号楼201-68,北京市大兴区西红门镇宏福路8号鸿坤集团,曾有债券发行,房地产开发，销售商品房；房地产信息咨询（中介除外）；出租办公用房；企业管理咨询；工程管理服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
83,84.0,北京合生北方房地产开发有限公司,在营,盛廷会,500万,美元,2002-06-25,2023-08-31,北京市,-,朝阳区,91110000739352098T,87777066,173924237@qq.com,164,外资企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,北京市朝阳区广渠路28号215号楼1层215-南121b号,-,曾有债券发行,以下项目限分支机构经营：为接受本酒店服务的客人零售包装食品、酒、饮料；住宿；洗衣服务；美容服务；制售中西餐（含冷荤凉菜）；开发、建设、出租、出售朝阳区大望路23号北京化工实验厂规划确定的一、二期范围内及通州区中关村科技园区通州园金桥科技产业基地环科中路5-150号的开发建设的房屋及物业管理；机动车公共停车场服务；以下项目限分支机构经营：健身服务；商务中心；为接受本酒店服务的客人零售工艺美术品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
84,85.0,祥源控股集团有限责任公司,在营,俞红华,9亿,人民币,2002-04-29,2023-07-11,浙江省,绍兴市,越城区,91330600738429313G,0575-88203818,yeshengkun@sunriver.cn,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,浙江省绍兴市越城区灵芝街道后墅路299号祥源大厦1601-1室,安徽省合肥市濉溪路310号祥源广场A座,曾有债券发行,实业投资；市场设施开发与服务；旅游开发及投资；批发、零售：家用电器及配件、电子产品及配件、机电设备及配件；企业管理咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
85,86.0,湖北国创高新材料股份有限公司,在营,高攀文,9.16亿,人民币,2002-03-25,2023-08-18,湖北省,武汉市,洪山区,91420000737132913D,027-87617347,hb_guochuanggaoxin@qq.com,78,民营企业,股份有限公司,房地产业,房地产业,房地产中介服务,房地产中介服务,www.guochuang.com.cn,湖北省武汉市东湖新技术开发区武大园三路8号,湖北省武汉东湖开发区武大科技园武大园三路八号国创高科实业集团办公大楼,曾有债券发行,"沥青系列产品的研发、生产、销售、仓储及物流;承接沥青路面工程;环保工程技术开发及应用;电子产品及相关设备的销售;计算机软件、硬件及相关网络技术的开发、设计、技术咨询和销售;企业管理咨询,房产经纪,房产信息咨询,自有物业租赁;货物进出口、技术服务、技术咨询、技术进出口(国家限制和禁止进出口的货物和技术除外)。"
86,87.0,上海紫竹高新区(集团)有限公司,在营,沈雯,25亿,人民币,2002-03-11,2021-10-21,上海市,-,闵行区,913100007366636160,021-61212288,liudong@zizhupark.com,75,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.zizhupark.com,上海市闵行区剑川路468号,上海市闵行区东川路555号1号楼3楼,曾有债券发行,实业投资，创业投资，产业孵化及投资服务，土地开发，房地产开发、经营、销售，商务咨询，企业管理咨询，国内贸易，物业管理。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
87,88.0,福建阳光集团有限公司,在营,吴洁,79.6亿,人民币,2002-02-06,2019-06-19,福建省,福州市,马尾区,91350000735658436D,-,-,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.fzyggjxx.net,福建省福州市马尾区罗星街道登龙路99号,福建省福州市台江区宁化街道望龙二路1号福州国际金融中心47楼,曾有债券发行,计算机软硬件的研发；对信息技术服务业、教育业、环保业、金融业、医疗业的投资；企业管理咨询服务；机械设备、建材、室内装饰材料、电梯、矿产品、焦炭、金属材料、化工产品（不含危险化学品及易制毒化学品）、化肥、润滑油、燃料油、塑料制品、橡胶制品、饲料、煤炭的销售；对外贸易；批发兼零售预包装食品；批发兼零售乳制品（含婴幼儿配方奶粉）；黄金销售（不含黄金交易）；市政公用工程、园林绿化工程、建筑装修装饰工程、建筑工程的施工；花卉种植。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
88,89.0,银城地产集团股份有限公司,在营,黄清平,2.75亿,人民币,2001-12-27,2021-10-25,江苏省,南京市,鼓楼区,91320100135237435X,025-86500111,01018@ycdc.com,17,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,南京市鼓楼区江东北路289号2101室,-,曾有债券发行,房地产开发、商品房销售；商品房租赁；建筑装潢；建筑设计；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）；实业投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
89,90.0,朗诗集团股份有限公司,在营,周鲲鹏,2.41亿,人民币,2001-12-24,2024-01-26,江苏省,南京市,浦口区,91320191733161493Q,025-84221048,-,6,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.landsea.cn,南京高新技术开发区28幢328室,南京市建邺路108号,曾有债券发行,房地产开发、咨询服务；自建房租赁；商品房销售及售后服务；建筑装饰材料、建筑机械、金属材料、水暖、电器器材销售；自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；建筑材料生产、销售；建筑科技开发。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
90,91.0,成都市花样年房地产开发有限公司,在营,吴建民,"7,561万",人民币,2001-10-18,2022-06-09,四川省,成都市,金牛区,91510100732348651B,028-86750606,-,16,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,成都市金牛区白果林小区青西路6号,-,曾有债券发行,房地产开发经营、货物进出口；项目投资、投资咨询（不得从事非法集资、吸收公众资金等金融活动）；酒店管理；（以下仅限分支机构凭许可证在有效期内经营经）：西餐类制售（含凉菜；不含裱花蛋糕、生食海产品、鲜榨果蔬汁）、冷热饮品制售、职工食堂（不含凉菜、裱花蛋糕、生食海产品、鲜榨果蔬汁）、饭馆、酒吧、住宿、公共浴室（桑拿中心）、游泳场、宾馆。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
91,92.0,山东东海房地产开发集团有限公司,在营,韩海波,5亿,人民币,2001-10-13,2021-07-29,山东省,德州市,德城区,91371400735763076A,0534-2100730,273146080@qq.com,409,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,山东省德州市经济技术开发区东海路6号,-,曾有债券发行,房地产开发、商品房销售、建材销售；组织文化艺术交流活动；会议及展览服务；企业管理咨询服务（未经金融监管部门批准，不得从事吸收存款、融资担保、代客理财等金融业务）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
92,93.0,凯华控股集团有限公司,在营,郑凯,1.37亿,人民币,2001-09-06,2023-09-22,广东省,广州市,海珠区,91440101731584118M,020-88993717,khns@khc.com,90,民营企业,有限责任公司,房地产业,房地产业,房地产租赁经营,房地产租赁经营,www.khc.com,广州市海珠区金纺路2号F7001,-,曾有债券发行,企业总部管理;企业管理;企业管理咨询;品牌管理;非居住房地产租赁;物业管理;停车场服务;以自有资金从事投资活动;信息系统集成服务;互联网销售（除销售需要许可的商品）;信息技术咨询服务;软件开发;数据处理服务;数据处理和存储支持服务;信息咨询服务（不含许可类信息咨询服务）;工程管理服务;工程技术服务（规划管理、勘察、设计、监理除外）;广告制作;广告发布;广告设计、代理;平面设计;市场营销策划;咨询策划服务;项目策划与公关服务;组织文化艺术交流活动;会议及展览服务;社会经济咨询服务;国内贸易代理;检验检测服务;货物进出口;进出口代理
93,94.0,世纪金源投资集团有限公司,在营,黄涛,10亿,人民币,2001-07-11,2019-12-19,北京市,-,海淀区,91110108726361876L,010-88468888,huangqinyuan@cgr.com.cn,167,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.grgroup.com.cn,北京市海淀区远大路1号金源时代购物中心650号,北京市海淀区蓝晴路1号世纪金源集团办公楼,曾有债券发行,项目投资；资产管理；企业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
94,95.0,融科智地科技股份有限公司,在营,宁旻,2.7亿,人民币,2001-06-11,2021-01-26,北京市,-,海淀区,911101087263421223,010-62509298,wangyua@legendholdings.com.cn,0,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,北京市海淀区科学院南路2号院1号楼12层1209A,-,曾有债券发行,建筑软件技术开发；出租办公用房；出租商业用房；物业管理；机动车公共停车场服务；销售建筑材料；专业承包；会议服务；承办展览展示活动；经济信息咨询；企业管理咨询。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
95,96.0,广州市时代控股集团有限公司,在营,周四阳,8.3亿,美元,2001-05-09,2021-07-06,广东省,广州市,越秀区,91440101728232939L,13119579121,luzifeng@timesgroup.cn,129,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.timesgroup.cn,广州市越秀区东风路410-412号第37层自编9房,中国广州市东风中路410号时代地产中心36-38楼,曾有债券发行,房地产开发经营（主题公园，别墅除外）;自有房地产经营活动;房屋租赁;物业管理;企业自有资金投资;
96,97.0,野风集团房地产股份有限公司,在营,俞红,25亿,人民币,2001-04-10,2020-12-14,浙江省,杭州市,拱墅区,91330000710978265X,13588401957,82562829@qq.com,29,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.yffc.cn,杭州市绍兴路187号西楼8楼,-,曾有债券发行,房地产开发、经营，房产中介、自有房屋出租。
97,98.0,上海世茂建设有限公司,在营,许世坛,31.4亿,人民币,2001-03-16,2023-10-24,上海市,-,浦东新区,91310115703254170G,021-38611111,-,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,中国（上海）自由贸易试验区民生路600号16幢401室,上海市浦东新区潍坊西路55号,曾有债券发行,房地产开发、经营、旧房改造及经营（含出租、出售）、物业管理、室内装潢、企业管理咨询。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
98,99.0,开元旅业集团有限公司,在营,陈灿荣,10亿,人民币,2001-01-09,2023-12-19,浙江省,杭州市,萧山区,913301091435883585,057182888888,Brand@kaiyuangroup.com,50,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,浙江省杭州萧山区市心中路818号十七楼,浙江省杭州萧山区市心中路818号十七楼,曾有债券发行,一般项目：旅游项目咨询服务；企业投资及管理；投资咨询服务（未经金融等监管部门批准，不得从事向公众融资存款，金融担保，代客理财等金融服务）；企业管理服务；企业形象策划；销售：金属材料、贵金属、有色金属、钢材；货物及技术进出口业务**(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。
99,100.0,宁波奥克斯置业有限公司,在营,吴煜,12亿,人民币,2000-12-13,2022-11-21,浙江省,宁波市,鄞州区,9133021272640280XK,88220392,825421226@qq.com,102,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,宁波市鄞州区潘火街道潘火桥村,上海市浦东新区浦东南路1271号华融大厦26F,曾有债券发行,房地产开发及物业管理；建筑材料的批发、零售；室内外装潢服务；实业投资；投资咨询；自有房屋租赁；建筑工程管理服务；自营或代理货物和技术的进出口，但国家限制经营或禁止进出口的货物和技术除外。【未经金融等监管部门批准不得从事吸收存款、融资担保、代客理财、向社会公众集（融）资等金融业务】（依法须经批准的项目，经相关部门批准后方可开展经营活动）
100,101.0,当代节能置业股份有限公司,在营,张鹏,30亿,人民币,2000-09-21,2021-07-14,北京市,-,东城区,91110101722614768W,010-84407008,jiangli@modernland.hk,1,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.modernland.hk,北京市东城区香河园街1号10号楼当代节能置业中心三、四层,北京市东城区香河园街1号10号楼当代节能置业中心三、四层,曾有债券发行,房地产开发，销售自行开发的商品房；建筑节能技术服务；节能楼宇控制技术服务、技术培训；技术开发、技术推广、技术转让、技术中介服务；建设工程项目管理；货物进出口、技术进出口、代理进出口；经济信息咨询；会议服务；承办展览展示活动；酒店管理；汽车租赁；设计、制作、发布、代理广告；销售服装鞋帽、体育用品、文化用品、家用电器、珠宝首饰、工艺美术品、针纺织品、日用品；打字、复印、传真；花卉租摆；出租商业用房；以下内容限分支机构经营：住宿（卫生许可证有效期至2024年03月31日）；游泳（高危险性体育项目经营许可证有效期至2021年10月19日）；航空客运销售代理；（大型餐馆）热食类食品制售；冷食类食品制售；自制饮品制售，限普通饮品；预包装食品销售，含冷藏冷冻食品；散装食品销售，含冷藏冷冻食品、不含熟食（食品经营许可证有效期至2023年01月01日）；（中型餐馆）糕点类食品制售，含裱花蛋糕；自制饮品制售，限普通饮品；预包装食品销售，含冷藏冷冻食品；散装食品销售，含冷藏冷冻食品、不含熟食（食品经营许可证有效期至2022年09月11日）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
101,102.0,旭辉集团股份有限公司,在营,傅珮,35亿,人民币,2000-08-15,2023-11-17,上海市,-,青浦区,913100001321468885,18205007387,-,174,民营企业,-,房地产业,房地产业,房地产开发经营,房地产开发经营,www.cifi.com.cn,上海市青浦区练塘镇朱枫公路3534弄1号4幢1层103室,上海市闵行区申虹路1088弄39号,曾有债券发行,房地产开发、经营，实业投资，室内装潢，社会经济咨询，计算机软件开发，销售建材、装潢材料，建设工程项目管理，建设工程项目代理，建设工程咨询。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
102,103.0,广州番禺雅居乐房地产开发有限公司,在营,王建中,5亿,人民币,2000-03-27,2023-09-26,广东省,广州市,番禺区,91440113721995095J,020-34761047,lvpeijie@agile.com.cn,109,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,广州市番禺区南村镇员岗村广州雅居乐花园会所,广州市番禺区南村镇草堂村88号剑桥郡国际文化中心3楼,曾有债券发行,房地产开发经营;物业管理;房地产咨询服务;自有房地产经营活动;房屋租赁;场地租赁（不含仓储）;
103,104.0,远洋亿家物业服务股份有限公司,在营,杨德勇,7.04亿,人民币,1999-09-09,2023-05-29,北京市,-,怀柔区,91110116700231563Q,01085642300,yyyjwygs@oceanhomeservice.com,380,港澳台企业,-,房地产业,房地产业,物业管理,物业管理,www.oceanhomeplus.com,北京市怀柔区雁栖经济开发区雁栖大街31号,北京市朝阳区朝阳体育中心东侧路甲518号C座1层,曾有债券发行,物业管理；房地产经纪；停车场服务；信息技术咨询服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；人工智能应用软件开发；人工智能公共数据平台；对外承包工程；专业保洁、清洗、消毒服务；建筑物清洁服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）；食品销售；建筑劳务分包。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
104,105.0,幸福基业物业服务有限公司,在营,黎毓珊,"5,000万",人民币,1999-08-10,2023-03-27,河北省,廊坊市,广阳区,91131003715899152B,18330656699,gongsilianxiren@cfldcn.com,1141,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,河北省廊坊市广阳区第五大街商业街坊HB118号,-,曾有债券发行,一般项目：物业管理；家政服务；专业保洁、清洗、消毒服务；农作物病虫害防治服务；停车场服务；房地产经纪；住房租赁；大气环境污染防治服务；水环境污染防治服务；环境保护监测；城乡市容管理；城市绿化管理；市政设施管理；防洪除涝设施管理；城市公园管理；游览景区管理；体育场地设施经营（不含高危险性体育运动）；游乐园服务；广告设计、代理；广告制作；广告发布；酒店管理；会议及展览服务；知识产权服务（专利代理服务除外）；企业管理咨询；人力资源服务（不含职业中介活动、劳务派遣服务）；办公用品销售；体育用品及器材零售；针纺织品销售；日用百货销售；服装服饰零售；鞋帽零售；五金产品零售；电气设备销售；化工产品销售（不含许可类化工产品）；农副产品销售；食品销售（仅销售预包装食品）；电子产品销售；技术进出口；货物进出口；国内贸易代理；互联网销售（除销售需要许可的商品）；居民日常生活服务；住宅水电安装维护服务；污水处理及其再生利用；热力生产和供应（不含燃煤、燃油热力生产）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：特种设备检验检测；城市生活垃圾经营性服务；公路管理与养护；餐饮服务；道路货物运输（不含危险货物）；自来水生产与供应。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）
105,106.0,江西省正荣房地产开发有限公司,在营,裴玉琴,10.01亿,人民币,1999-07-09,2023-05-04,江西省,宜春市,袁州区,91360902705734039F,079******,huangyh3@zhenro.com,3,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.zhenro.com,江西省宜春市袁州区卢洲北路599号（御品滨江）,江西省宜春市袁州区卢洲北路599号(御品滨江),曾有债券发行,许可项目：房地产开发经营，建设工程施工（依法须经批准的项目，经相关部门批准后在许可有效期内方可开展经营活动，具体经营项目和许可期限以相关部门批准文件或许可证件为准） 一般项目：土石方工程施工，物业管理，建筑装饰材料销售，家用电器销售，日用百货销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
106,107.0,佳兆业集团(深圳)有限公司,在营,黄木开,34.76亿,人民币,1999-06-03,2022-05-24,广东省,深圳市,龙岗区,91440300715201631K,13316856007,chencuiyu@kaisagroup.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,深圳市龙岗区坂田雪岗南路137号宝吉行政办公楼218室,-,曾有债券发行,一般经营项目是：在合法取得土地使用权范围内从事房地产开发经营业务；同意在本市设立一家非法人分支机构。在深圳市罗湖区宗地号为H308-0048、H308-0049、H308-0050的土地上从事房地产开发经营业务。深圳市盐田三村、四村和西山吓村整体搬迁项目改造。国内货运代理。供应链管理咨询。房地产经纪，房地产代理销售、策划及咨询服务。，许可经营项目是：增加：游泳池、健身房、乒乓球室、桌球室、网球场、咖啡吧、中西餐厅。增加：美容美发。增加：从事桂芳园停车场机动车停放服务。
107,108.0,星河实业(深圳)有限公司,在营,刘世成,1.16亿,美元,1999-05-31,2022-07-20,广东省,深圳市,龙华区,91440300708441151X,23957467,szxhsy2023@163.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产租赁经营,房地产租赁经营,-,深圳市龙华区民治街道民乐社区星河WORLD二期C栋1406B,深圳市福田区中心五路星河发展中心大厦20楼,曾有债券发行,从事电子元器件、工艺品、计算机软硬件、办公室自动化产品开发与设计业务。增加：从事福田区B117-0015地块、龙华新城核心城区01-01-01地块的房地产开发经营。从事酒店的经营管理。（以下项目以分公司另行申报经营）：商务中心；健身房、游泳池、经营内设小商场：从事日用百货、钟表、黄金（不含原材料）、珠宝（不含裸钻）、服装、皮具、鞋类、箱包、文具；自有房屋租赁。^经营旅业；经营内设：糕点制售；中西餐厅、酒吧（不设厨房；不含卡拉OK、文艺表演项目）、酒廊；酒类零售（涉及专项规定管理的商品按国家有关规定办理）。美容美发（不含医疗美容）、水疗保健服务（具体为：公共浴室）；烟草零售。增加：从事沙嘴红旗岭综合楼停车场机动车停放服务。增加：福田区星河明居停车场机动车停放服务。增加：福田区怡和楼停车场机动车停放服务。增加：福田区星河雅居停车场机动车停放服务。增加：在深圳市设立五个非独立法人分支机构。增加：福田区福强路福民新村东侧星河华居停车场机动车停放服务;福田区福华三路星河发展中心地下停车场机动车停放服务。
108,109.0,重庆协信远创实业有限公司,在营,田铭新,26.67亿,人民币,1999-04-08,2021-09-13,重庆市,-,南岸区,91500108203322739K,02180227554,tusincere@sincere.com.cn,0,外资企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,重庆市南岸区江南大道28号3商业（协信星光时代广场3F-039）,重庆市江北区洋河一路68号协信中心C座27楼,曾有债券发行,许可项目：园林景观设计，从事建筑相关业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：销售：建筑材料、装饰材料（均不含化学危险品）；工艺品设计；设计、制作、代理、发布国内外广告；商务信息咨询；房地产营销策划；房地产中介（不含房地产评估）；房地产信息咨询。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
109,110.0,宋都基业投资股份有限公司,在营,俞建午,13.4亿,人民币,1999-03-22,2017-08-23,浙江省,杭州市,上城区,91330000720962064E,0571-86504656,yinghao@songd.com,6,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.songdu.com,浙江省杭州市上城区富春路789号,浙江省杭州市富春路789号宋都大厦,曾有债券发行,"产业投资(法律法规禁止及应经审批而未获批准的项目除外)、企业管理咨询及服务;电子、通讯、半导体材料技术研发,钢材、矿石、焦炭、生铁、铁合金、有色金属销售;机械设备销售及售后服务。自营和代理各类商品和技术的进出口业务(国家法律法规限制或禁止的除外)。"
110,111.0,北京万通新发展集团股份有限公司,在营,王忆会,20.54亿,人民币,1998-12-30,2023-09-22,北京市,-,海淀区,91110000633715962Q,010-59070750,vantone@vantone.com,122,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.vantone.com,北京市海淀区农大南路1号院9号楼5层501-551,北京市朝阳区朝外大街甲6号万通中心写字楼D座4层,曾有债券发行,"智慧城市、智慧楼宇、数字科技、智能科技、智慧系统的技术服务、技术开发;软件开发;数据处理(数据处理中的银行卡中心、PUE值在1.4以上的云计算数据中心除外);大数据服务;信息系统集成服务;房地产开发;销售商品房;停车场建设及经营管理;信息咨询(不含中介);技术咨询;劳务派遣;投资;投资管理;资产管理;互联网信息服务;第一类增值电信业务;网络文化经营。(市场主体依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事国家和本市产业政策禁止和限制类项目的经营活动。)"
111,112.0,俊发集团有限公司,在营,赵剑坤,52.5亿,人民币,1998-12-28,2022-07-04,云南省,昆明市,盘龙区,915300007134021307,***********,-,411,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.ynjunfa.cn,云南省昆明市盘龙区北京路987号俊发中心23楼,云南省昆明市盘龙区北京路987号俊发中心23楼,曾有债券发行,房地产开发经营、物业管理、房地产中介服务；基础设施的建设和管理；房屋建筑工程、市政公用工程、公路工程的设计与施工；建筑劳务分包；工程勘察设计；商品混凝土、混凝土预制构件、建筑材料、装饰材料的生产；普通货运；工程机械设备的租赁；货物及技术进出口业务；建筑工程项目管理；建筑材料、装饰材料的研究、开发、应用及技术咨询、技术服务、技术转让；企业管理；酒店管理；酒店从业人员培训；向游客提供旅游、交通、住宿、餐饮等代理服务（不涉及旅行社业务）；旅游景区规划设计、开发、管理；汽车销售；汽车零配件及美容装饰件销售及批发；咨询服务（不包含市场调查）；手表、箱包、服饰、百货的零售及批发；一类汽车维修（小型车辆维修）；二手车收购及销售。（以上项目不涉及外商投资准入特别管理措施）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
112,113.0,融侨集团股份有限公司,在营,林宏修,14.24亿,人民币,1998-10-14,2023-12-15,福建省,福州市,仓山区,913500006110099603,13696866578,-,135,民营企业,股份有限公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.rongqiao.com,福州市闽江大道167号,福州市台江区江滨大道融侨江滨广场100-2号融侨中心38层,曾有债券发行,福州市鼓楼区洪山镇西河地块，仓山区西至聚龙路、南临建华州、北到建新镇郭厝里地块，台江区六一中路东侧地块规划范围内从事住宅开发及相关的物业管理。出售和出租自建商品房；物业管理；开发建设金山大桥；信息咨询服务。（涉及审批许可项目的，只允许在审批许可的范围和有效期限内从事生产经营）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
